شرح,قتل - نفر,مرگ های مشکوک - نفر- خودکشی,مرگ های مشکوک - نفر- سایر موارد,نزاع و درگیری - مورد - فردی,نزاع و درگیری - مورد - دسته جمعی,شرارت - مورد - زورگیری و باج گیری - اخاذی,شرارت - مورد - چاقو و قمه کشی,شرارت - مورد - سایر شرارت ها,شرارت - مورد - دستگیر شدگان
۱۳۸۵,2286,2981,17934,247869,6588,1178,5004,1868,11229
۱۳۹۰,2064,3514,21702,306073,6067,4294,2874,2395,17958
۱۳۹۵,1777,3778,23890,670729,6454,120,4163,2100,6077
۱۳۹۶,1888,3930,23535,654245,6244,106,4992,1610,5984
۱۳۹۷,1795,4240,22799,753974,6423,117,6114,1741,7193
۱۳۹۸,1996,4156,23502,759493,6766,91,3780,1457,6245
۱۳۹۹,2240,4813,23908,840660,7962,85,4232,2011,10015
آذربایجان شرقی,68,219,931,26984,231,4,433,70,330
آذربایجان غربی,67,180,287,25428,188,3,32,41,92
اردبیل,19,95,259,9960,1059,1,2,37,89
اصفهان,100,207,1344,26971,133,5,20,45,327
البرز,64,186,830,127103,143,1,15,50,63
ایلام,22,76,124,13827,120,0,249,4,177
بوشهر,38,80,215,4712,10,0,1,3,14
تهران,293,713,9569,168751,1325,44,1157,1162,3202
چهارمحال و بختیاری,31,83,395,7811,139,3,155,11,145
خراسان جنوبی,6,26,84,2551,63,1,54,3,66
خراسان رضوی,156,250,1181,77033,572,3,22,131,547
خراسان شمالی,14,70,146,9290,85,2,2,7,19
خوزستان,240,273,778,95317,498,0,3,8,26
زنجان,17,65,236,6563,26,1,11,15,58
سمنان,16,35,190,4275,194,0,29,6,22
سیستان و بلوچستان,247,54,389,14972,119,1,6,17,101
فارس,140,320,1524,45945,211,2,6,70,810
قزوین,38,68,294,10208,81,0,59,7,88
قم,20,56,348,5755,55,0,207,15,390
كردستان,28,139,272,10104,50,0,171,17,181
كرمان,115,186,599,39037,1015,6,241,90,1028
کرمانشاه,72,275,913,10463,386,3,10,23,407
کهگیلویه و بویراحمد,29,98,120,3718,186,0,19,6,8
گلستان,58,128,188,9661,35,0,622,13,271
گیلان,51,177,455,21418,44,0,5,13,39
لرستان,93,191,350,14094,629,0,7,36,63
مازندران,61,131,458,20375,16,0,596,61,1046
مرکزی,32,106,327,12772,142,1,70,12,111
هرمزگان,42,120,387,5751,82,0,8,5,207
همدان,41,164,422,13688,88,4,6,27,51
یزد,21,39,274,5752,34,0,11,5,27
کیش,1,3,19,371,3,0,3,1,10
