استان‌ها,نفر
آذربایجان شرقی,4018000
آذربایجان غربی,3398000
اردبیل,1297000
اصفهان,5292000
البرز,2865000
ایلام,597000
بوشهر,1230000
تهران,13807000
چهارمحال و بختیاری,979000
خراسان جنوبی,809000
خراسان رضوی,6768000
خراسان شمالی,892000
خوزستان,4885000
زنجان,1095000
سمنان,750000
سیستان و بلوچستان,2978000
فارس,5006000
قزوین,1322000
قم,1373000
كردستان,1658000
كرمان,3299000
کرمانشاه,1989000
کهگیلویه و بویراحمد,744000
گلستان,1951000
گیلان,2562000
لرستان,1793000
مازندران,3365000
مرکزی,1467000
هرمزگان,1902000
همدان,1771000
یزد,1213000
